course,preUni,totalCount,mean,min,max,mode,modeCount
UP6481004 BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER) DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4,3.772,3.75,3.8,3.75,2
UP6481004 BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER) DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,3.84,3.84,3.84,3.84,1
UP6521001 BACELOR KEJURUTERAAN MEKANIKAL DENGAN KEPUJIAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),1,3.97,3.97,3.97,3.97,1
UP6521001 BACELOR KEJURUTERAAN MEKANIKAL DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3,3.96,3.92,4.0,[3.92 3.96 4.  ],1
UP6523001 BACELOR KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),1,4.0,4.0,4.0,4.0,1
UP6523001 BACELOR KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3,3.89,3.83,3.92,3.92,2
UP6523002 BACELOR KEJURUTERAAN SISTEM KOMPUTER DAN KOMUNIKASI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2,3.71,3.5,3.92,[3.5  3.92],1
UP6524001 BACELOR KEJURUTERAAN KIMIA DENGAN KEPUJIAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),1,3.986,3.986,3.986,3.986,1
UP6524001 BACELOR KEJURUTERAAN KIMIA DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),6,3.98,3.92,4.0,4.0,4
UP6524001 BACELOR KEJURUTERAAN KIMIA DENGAN KEPUJIAN,文凭(DIPLOMA),1,3.311,3.3110000000000004,3.3110000000000004,3.3110000000000004,1
UP6525001 BACELOR KEJURUTERAAN AEROANGKASA DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3,4.0,4.0,4.0,4.0,3
UP6526001 BACELOR KEJURUTERAAN AWAM DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),2,3.855,3.79,3.92,[3.79 3.92],1
UP6526001 BACELOR KEJURUTERAAN AWAM DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,3.92,3.92,3.92,3.92,1
UP6526001 BACELOR KEJURUTERAAN AWAM DENGAN KEPUJIAN,文凭(DIPLOMA),2,3.625,3.6,3.65,[3.6  3.65],1
UP6541001 BACELOR SAINS DAN TEKNOLOGI MAKANAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),7,3.911,3.75,4.0,4.0,3
UP6541001 BACELOR SAINS DAN TEKNOLOGI MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,3.84,3.84,3.84,3.84,1
UP6541002 BACELOR SAINS PENGAJIAN MAKANAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),2,3.94,3.88,4.0,[3.88 4.  ],1
UP6541002 BACELOR SAINS PENGAJIAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),6,3.583,3.5,3.75,[3.5  3.58],2
UP6541003 BACELOR SAINS PENGURUSAN PERKHIDMATAN MAKANAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),10,3.193,2.0,3.5,[3.25 3.42 3.5 ],2
UP6541004 BACELOR KEJURUTERAAN PROSES DAN MAKANAN DENGAN KEPUJIAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),1,3.727,3.727,3.727,3.727,1
