course,preUni,cgpa,count
UP6312001 BACELOR SAINS PEMBANGUNAN MANUSIA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.75,1
UP6314001 BACELOR EKONOMI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.5,1
UP6314001 BACELOR EKONOMI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.83,2
UP6314001 BACELOR EKONOMI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.84,4
UP6314001 BACELOR EKONOMI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.92,9
UP6314001 BACELOR EKONOMI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),4.0,1
UP6321001 BACELOR KOMUNIKASI DENGAN KEPUJIAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.0,1
UP6321001 BACELOR KOMUNIKASI DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.59,1
UP6321001 BACELOR KOMUNIKASI DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.7,1
UP6321001 BACELOR KOMUNIKASI DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.92,1
UP6321001 BACELOR KOMUNIKASI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.08,1
UP6321001 BACELOR KOMUNIKASI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.8,1
UP6321001 BACELOR KOMUNIKASI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.67,3
UP6321001 BACELOR KOMUNIKASI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.92,1
UP6321001 BACELOR KOMUNIKASI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),4.0,1
UP6321001 BACELOR KOMUNIKASI DENGAN KEPUJIAN,文凭(DIPLOMA),3.47,2
UP6344001 BACELOR PERAKAUNAN (KEPUJIAN),其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.73,1
UP6344001 BACELOR PERAKAUNAN (KEPUJIAN),大学预科班 (MATRIKULASI),4.0,15
UP6344001 BACELOR PERAKAUNAN (KEPUJIAN),文凭(DIPLOMA),3.89,1
UP6345001 BACELOR PENTADBIRAN PERNIAGAAN DENGAN KEPUJIAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.74,1
UP6345001 BACELOR PENTADBIRAN PERNIAGAAN DENGAN KEPUJIAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.75,1
UP6345001 BACELOR PENTADBIRAN PERNIAGAAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.75,1
UP6345001 BACELOR PENTADBIRAN PERNIAGAAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.83,1
UP6345001 BACELOR PENTADBIRAN PERNIAGAAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.56,1
UP6345001 BACELOR PENTADBIRAN PERNIAGAAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.67,1
UP6345001 BACELOR PENTADBIRAN PERNIAGAAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.75,8
UP6345001 BACELOR PENTADBIRAN PERNIAGAAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.83,8
UP6345001 BACELOR PENTADBIRAN PERNIAGAAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.84,2
UP6345001 BACELOR PENTADBIRAN PERNIAGAAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.92,3
UP6345001 BACELOR PENTADBIRAN PERNIAGAAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),4.0,9
UP6345002 BACELOR SAINS PEMBANGUNAN SUMBER MANUSIA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.5,1
UP6345003 BACELOR PENGAJIAN PENGGUNA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.42,1
UP6345003 BACELOR PENGAJIAN PENGGUNA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.5,1
UP6345003 BACELOR PENGAJIAN PENGGUNA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.58,2
UP6345003 BACELOR PENGAJIAN PENGGUNA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.59,1
UP6345003 BACELOR PENGAJIAN PENGGUNA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.67,2
UP6345003 BACELOR PENGAJIAN PENGGUNA DENGAN KEPUJIAN,文凭(DIPLOMA),3.42,1
"UP6345004 BACELOR SAINS PEMBANGUNAN MANUSIA DENGAN PENGURUSAN (KEPUJIAN) (KAMPUS SERDANG, SELANGOR)",文凭(DIPLOMA),3.75,1
UP6345005 BACELOR SAINS PEMBANGUNAN MANUSIA DENGAN TEKNOLOGI MAKLUMAT (KEPUJIAN),大学预科班 (MATRIKULASI),4.0,1
UP6345005 BACELOR SAINS PEMBANGUNAN MANUSIA DENGAN TEKNOLOGI MAKLUMAT (KEPUJIAN),大马高等教育文凭 (STPM),3.67,1
"UP6345006 BACELOR SAINS PEMBANGUNAN MANUSIA DENGAN PENGURUSAN (KEPUJIAN) (KAMPUS BINTULU, SARAWAK)",大马高等教育文凭 (STPM),2.58,1
UP6345007 BACELOR PENGURUSAN ALAM SEKITAR DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.58,1
UP6421001 BACELOR SAINS BIOPERUBATAN DENGAN KEPUJIAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.95,1
UP6421001 BACELOR SAINS BIOPERUBATAN DENGAN KEPUJIAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.986,1
UP6421001 BACELOR SAINS BIOPERUBATAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4.0,13
UP6421002 BACELOR SAINS BIOLOGI DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.58,1
UP6421002 BACELOR SAINS BIOLOGI DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.79,1
UP6421002 BACELOR SAINS BIOLOGI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.75,1
UP6421002 BACELOR SAINS BIOLOGI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.84,1
UP6421002 BACELOR SAINS BIOLOGI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),4.0,1
UP6421003 BACELOR SAINS BIOKIMIA DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.79,1
UP6421003 BACELOR SAINS BIOKIMIA DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.88,3
UP6421003 BACELOR SAINS BIOKIMIA DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.92,1
UP6421003 BACELOR SAINS BIOKIMIA DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.96,1
UP6421004 BACELOR SAINS MIKROBIOLOGI DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4.0,1
